Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Sona,"1,374,954",4.83:1,0.5113,0.0588,0,17.72,"12,215"
Vladimir,"1,370,340",3.05:1,0.4925,0.0586,0,47.4,"13,800"
Anivia,"1,368,337",3.77:1,0.4879,0.0585,0,56.35,"14,049"
Nunu & Willump,"1,364,680",3.17:1,0.4803,0.0583,0,33.71,"13,377"
Gragas,"1,357,428",3.05:1,0.4853,0.058,0,30,"13,468"
Syndra,"1,341,122",3.3:1,0.4896,0.0573,0,53.94,"14,196"
Viktor,"1,340,564",3.49:1,0.5202,0.0573,0,55.03,"14,574"
Sett,"1,325,570",2.66:1,0.5068,0.0567,0,36.95,"13,368"
Quinn,"1,301,636",3.04:1,0.49,0.0557,0,48.75,"14,557"
Aphelios,"1,288,421",2.94:1,0.4753,0.0551,0,73.11,"14,351"
Leona,"1,284,844",2.93:1,0.52,0.0549,0,16.92,"11,980"
Zilean,"1,265,143",4.59:1,0.4828,0.0541,0,47.92,"13,383"
Malzahar,"1,258,710",3.46:1,0.5311,0.0538,0,85.94,"14,057"
Renekton,"1,251,060",2.67:1,0.5183,0.0535,0,50.18,"13,740"
Irelia,"1,249,467",2.43:1,0.4943,0.0534,0,77.07,"14,505"
Corki,"1,248,644",3.28:1,0.4804,0.0534,0,54.56,"14,517"
Zyra,"1,244,000",3.69:1,0.5131,0.0532,0,54.55,"13,703"
Rumble,"1,217,072",3.0:1,0.516,0.052,0,42.2,"14,147"
Akshan,"1,211,251",2.83:1,0.4867,0.0518,0,62.52,"15,034"
Viego,"1,197,327",2.66:1,0.493,0.0512,0,31.88,"14,401"
Jax,"1,190,738",2.24:1,0.4893,0.0509,0,30.33,"13,719"
Tryndamere,"1,178,480",2.93:1,0.5206,0.0504,0,52.52,"14,037"
Lissandra,"1,176,762",3.05:1,0.5287,0.0503,0,57.45,"13,867"
Nami,"1,161,044",5.49:1,0.5104,0.0496,0,13.11,"12,234"
Wukong,"1,159,719",2.69:1,0.4885,0.0496,0,31.69,"13,973"
Yuumi,"1,159,557",8.65:1,0.508,0.0496,0,6.13,"12,080"
Diana,"1,153,213",2.87:1,0.5238,0.0493,0,38.17,"14,019"
Riven,"1,128,066",2.61:1,0.5076,0.0482,0,40.9,"13,812"
Taliyah,"1,104,948",3.24:1,0.5206,0.0472,0,54.14,"14,328"
Nasus,"1,092,060",2.97:1,0.5007,0.0467,0,57.68,"13,772"
Illaoi,"1,052,514",2.5:1,0.5206,0.045,0,49.63,"13,638"
Kayn,"1,050,606",2.35:1,0.4839,0.0449,0,36.73,"14,134"
Sion,"1,037,683",2.51:1,0.5261,0.0444,0,46.28,"13,832"
Tahm Kench,"1,037,312",3.39:1,0.5113,0.0444,0,24.31,"13,013"
Kindred,"1,021,631",2.96:1,0.4651,0.0437,0,63.27,"14,562"
Alistar,"1,017,357",3.52:1,0.5073,0.0435,0,15.04,"12,292"
Bard,"1,014,199",4.07:1,0.4535,0.0434,0,32.95,"13,730"
Azir,"1,012,449",2.88:1,0.5013,0.0433,0,60.01,"14,271"
Talon,"995,381",2.73:1,0.4811,0.0426,0,46.96,"15,449"
Dr. Mundo,"986,970",2.85:1,0.5051,0.0422,0,37.62,"12,909"
Vi,"957,751",2.32:1,0.486,0.0409,0,29.48,"14,279"
Galio,"951,369",3.29:1,0.5319,0.0407,0,32.6,"12,816"
Warwick,"945,969",2.52:1,0.5107,0.0404,0,30.95,"13,519"
Braum,"939,071",4.04:1,0.5078,0.0402,0,13.22,"12,115"
Singed,"938,105",2.78:1,0.5163,0.0401,0,42.49,"13,137"
Fiora,"930,918",2.57:1,0.5032,0.0398,0,38.69,"13,572"
